county,confirmed,recovered,hospitalizations,deaths,start,end
Androscoggin,12,3,4,0,2020-04-02T02:58:03.998Z,2020-04-03T20:27:45.594Z
Aroostook,0,0,0,0,2020-04-02T02:58:03.998Z,2020-04-03T20:27:45.594Z
Cumberland,192,43,31,5,2020-04-02T02:58:03.998Z,2020-04-03T01:59:07.185Z
Franklin,2,0,0,0,2020-04-02T02:58:03.998Z,2020-04-03T01:59:07.185Z
Hancock,1,0,0,0,2020-04-02T02:58:03.998Z,2020-04-03T01:59:07.185Z
Kennebec,17,4,7,1,2020-04-02T02:58:03.998Z,2020-04-03T01:59:07.185Z
Knox,5,1,1,0,2020-04-02T02:58:03.998Z,2020-04-03T01:59:07.185Z
Lincoln,8,2,0,0,2020-04-02T02:58:03.998Z,2020-04-07T01:40:15.960Z
Oxford,9,3,0,0,2020-04-02T02:58:03.998Z,2020-04-03T20:27:45.594Z
Penobscot,13,7,3,0,2020-04-02T02:58:03.998Z,2020-04-03T01:59:07.185Z
Piscataquis,0,0,0,0,2020-04-02T02:58:03.998Z,
Sagadahoc,10,1,2,0,2020-04-02T02:58:03.998Z,2020-04-03T01:59:07.185Z
Somerset,1,0,0,0,2020-04-02T02:58:03.998Z,2020-04-03T01:59:07.185Z
Waldo,2,1,0,0,2020-04-02T02:58:03.998Z,2020-04-03T20:27:45.594Z
Washington,0,0,0,0,2020-04-02T02:58:03.998Z,2020-04-03T20:27:45.594Z
York,65,14,13,1,2020-04-02T02:58:03.998Z,2020-04-03T01:59:07.185Z
Unknown,7,1,2,0,2020-04-02T02:58:03.998Z,2020-04-03T01:59:07.185Z
Cumberland,204,51,34,5,2020-04-03T01:59:07.185Z,2020-04-03T20:27:45.594Z
Franklin,3,0,0,0,2020-04-03T01:59:07.185Z,2020-04-03T20:27:45.594Z
Hancock,2,0,0,0,2020-04-03T01:59:07.185Z,2020-04-08T16:34:01.279Z
Kennebec,19,5,7,1,2020-04-03T01:59:07.185Z,2020-04-05T00:21:23.722Z
Knox,7,1,1,0,2020-04-03T01:59:07.185Z,2020-04-03T20:27:45.594Z
Penobscot,16,8,3,0,2020-04-03T01:59:07.185Z,2020-04-03T20:27:45.594Z
Sagadahoc,10,1,3,0,2020-04-03T01:59:07.185Z,2020-04-03T20:27:45.594Z
Somerset,2,0,0,0,2020-04-03T01:59:07.185Z,2020-04-05T00:21:23.722Z
York,74,19,14,1,2020-04-03T01:59:07.185Z,2020-04-03T20:27:45.594Z
Unknown,8,0,2,0,2020-04-03T01:59:07.185Z,2020-04-03T20:27:45.594Z
Androscoggin,19,3,6,0,2020-04-03T20:27:45.594Z,2020-04-05T00:21:23.722Z
Aroostook,1,0,0,0,2020-04-03T20:27:45.594Z,2020-04-08T02:55:31.218Z
